-0.005,849
-0.005,850
-0.004,851
-0.004,852
-0.004,853
-0.004,854
-0.004,855
-0.003,856
-0.003,857
-0.003,858
-0.003,859
-0.003,860
-0.002,861
-0.002,862
-0.002,863
-0.002,864
-0.002,865
-0.002,866
-0.001,867
-0.001,868
-0.001,869
-0.001,870
-0.001,871
0,872
0,873
0,874
0,875
0.001,876
0.001,877
0.001,878
0.002,879
0.002,880
0.003,881
0.003,882
0.003,883
0.004,884
0.004,885
0.005,886
0.005,887
0.005,888
0.006,889
0.006,890
0.007,891
0.007,892
0.007,893
0.008,894
0.008,895
0.009,896
0.009,897
0.01,898
0.01,899
0.011,900
0.012,901
0.012,902
0.013,903
0.014,904
0.015,905
0.015,906
0.016,907
0.017,908
0.018,909
0.018,910
0.019,911
0.02,912
0.021,913
0.021,914
0.022,915
0.023,916
0.024,917
0.024,918
0.025,919
0.026,920
0.027,921
0.027,922
0.028,923
0.029,924
0.03,925
0.032,926
0.033,927
0.034,928
0.036,929
0.037,930
0.04,931
0.043,932
0.047,933
0.05,934
0.054,935
0.057,936
0.061,937
0.065,938
0.068,939
0.072,940
0.075,941
0.078,942
0.081,943
0.084,944
0.087,945
0.091,946
0.095,947
0.1,948
0.105,949
0.109,950
0.114,951
0.119,952
0.123,953
0.128,954
0.133,955
0.143,956
0.151,957
0.156,958
0.16,959
0.165,960
0.17,961
0.182,962
0.193,963
0.202,964
0.211,965
0.219,966
0.227,967
0.235,968
0.244,969
0.253,970
0.264,971
0.276,972
0.281,973
0.286,974
0.29,975
0.295,976
0.301,977
0.307,978
0.313,979
0.321,980
0.328,981
0.336,982
0.343,983
0.349,984
0.355,985
0.361,986
0.367,987
0.373,988
0.379,989
0.386,990
0.392,991
0.397,992
0.402,993
0.406,994
0.411,995
0.415,996
0.42,997
0.425,998
0.428,999
0.43,1000
0.432,1001
0.434,1002
0.436,1003
0.438,1004
0.44,1005
0.442,1006
0.446,1007
0.449,1008
0.453,1009
0.456,1010
0.46,1011
0.463,1012
0.467,1013
0.471,1014
0.48,1015
0.489,1016
0.494,1017
0.498,1018
0.503,1019
0.511,1020
0.519,1021
0.526,1022
0.538,1023
0.55,1024
0.562,1025
0.574,1026
0.586,1027
0.598,1028
0.61,1029
0.623,1030
0.637,1031
0.65,1032
0.662,1033
0.674,1034
0.69,1035
0.707,1036
0.724,1037
0.74,1038
0.757,1039
0.776,1040
0.797,1041
0.814,1042
0.831,1043
0.849,1044
0.869,1045
0.889,1046
0.905,1047
0.917,1048
0.929,1049
0.945,1050
0.963,1051
0.975,1052
0.981,1053
0.987,1054
0.99,1055
0.989,1056
0.988,1057
0.987,1058
0.986,1059
0.977,1060
0.953,1061
0.928,1062
0.898,1063
0.869,1064
0.844,1065
0.814,1066
0.776,1067
0.748,1068
0.721,1069
0.696,1070
0.669,1071
0.637,1072
0.606,1073
0.583,1074
0.56,1075
0.537,1076
0.514,1077
0.487,1078
0.461,1079
0.436,1080
0.417,1081
0.399,1082
0.38,1083
0.362,1084
0.343,1085
0.325,1086
0.305,1087
0.285,1088
0.265,1089
0.25,1090
0.237,1091
0.223,1092
0.209,1093
0.195,1094
0.181,1095
0.167,1096
0.154,1097
0.144,1098
0.137,1099
0.129,1100
0.121,1101
0.114,1102
0.106,1103
0.097,1104
0.088,1105
0.079,1106
0.07,1107
0.063,1108
0.058,1109
0.054,1110
0.049,1111
0.046,1112
0.043,1113
0.041,1114
0.039,1115
0.037,1116
0.034,1117
0.032,1118
0.03,1119
0.028,1120
0.026,1121
0.025,1122
0.023,1123
0.022,1124
0.021,1125
0.019,1126
0.018,1127
0.017,1128
0.015,1129
0.014,1130
0.014,1131
0.014,1132
0.014,1133
0.014,1134
0.014,1135
0.014,1136
0.014,1137
0.014,1138
0.014,1139
0.014,1140
0.014,1141
0.014,1142
0.013,1143
0.013,1144
0.012,1145
0.011,1146
0.011,1147
0.01,1148
0.009,1149
0.009,1150
0.009,1151
0.009,1152
0.009,1153
0.009,1154
0.009,1155
0.009,1156
0.008,1157
0.008,1158
0.007,1159
0.007,1160
0.006,1161
0.005,1162
0.005,1163
0.004,1164
0.004,1165
0.003,1166
0.003,1167
0.002,1168
0.002,1169
0.001,1170
0.001,1171
0,1172
0,1173
0,1174
0,1175
0,1176
0,1177
0,1178
0,1179
0,1180
0,1181
0,1182
0,1183
0,1184
0,1185
0,1186
