wavelength(nm)	reflectance_factor	intensity_stdev
2870.000000	0.01702	0.005639
2880.000000	0.02340	0.006800
2890.000000	0.02310	0.003938
2900.000000	0.01469	0.000897
2910.000000	0.03600	0.005486
2920.000000	0.02369	0.001807
2930.000000	0.01601	0.003703
2940.000000	0.02909	0.006991
2950.000000	0.02748	0.002948
2960.000000	0.03968	0.004704
2970.000000	0.02498	0.005478
2980.000000	0.01522	0.001596
2990.000000	0.03218	0.000987
3000.000000	0.03105	0.004708
3010.000000	0.02612	0.002383
3020.000000	0.02666	0.002327
3030.000000	0.03004	0.004627
3040.000000	0.03163	0.003038
3050.000000	0.03559	0.002041
3060.000000	0.03690	0.003546
3070.000000	0.04491	0.002783
3080.000000	0.05917	0.001358
3090.000000	0.06513	0.001720
3100.000000	0.08112	0.001903
3110.000000	0.08596	0.002332
3120.000000	0.07468	0.002397
3130.000000	0.06116	0.001755
3140.000000	0.06350	0.002545
3150.000000	0.05958	0.003830
3160.000000	0.05650	0.002221
3170.000000	0.04359	0.001813
3180.000000	0.05223	0.002138
3190.000000	0.05107	0.004796
3200.000000	0.04748	0.001455
3210.000000	0.05472	0.002344
3220.000000	0.05628	0.001272
3230.000000	0.05159	0.001850
3240.000000	0.05532	0.002940
3250.000000	0.05141	0.001335
3260.000000	0.04541	0.002532
3270.000000	0.04345	0.003223
3280.000000	0.04367	0.002655
3290.000000	0.04382	0.001492
3300.000000	0.03710	0.001761
3310.000000	0.03607	0.001914
3320.000000	0.03571	0.001067
3330.000000	0.04046	0.002525
3340.000000	0.03636	0.001345
3350.000000	0.03528	0.001671
3360.000000	0.02723	0.001349
3370.000000	0.02148	0.001699
3380.000000	0.02872	0.001436
3390.000000	0.02377	0.002334
3400.000000	0.02686	0.002754
3410.000000	0.02845	0.001874
3420.000000	0.02287	0.002202
3430.000000	0.03370	0.000711
3440.000000	0.03603	0.003135
3450.000000	0.03003	0.004434
3460.000000	0.03334	0.000815
3470.000000	0.03250	0.001074
3480.000000	0.02351	0.003803
3490.000000	0.04369	0.005138
3500.000000	0.03409	0.000683
3510.000000	0.03529	0.001711
3520.000000	0.03461	0.001082
3530.000000	0.03177	0.003123
3540.000000	0.03079	0.002826
3550.000000	0.04385	0.002459
3560.000000	0.04107	0.001675
3570.000000	0.03878	0.002365
3580.000000	0.03402	0.002960
3590.000000	0.04230	0.004555
3600.000000	0.03984	0.005089
3600.000000	0.03984	0.005089
3650.000000	0.04575	0.001800
3700.000000	0.04574	0.001056
3750.000000	0.03292	0.001763
3800.000000	0.03190	0.001695
3850.000000	0.03533	0.004988
3900.000000	0.03825	0.001904
3950.000000	0.02613	0.004423
4000.000000	0.02383	0.001185
4050.000000	0.02286	0.002111
4100.000000	0.01452	0.001506
4150.000000	0.03287	0.005407
4200.000000	0.03619	0.009734
